aardvark,Aardvark
aardwolf,aardwolf
aaron,Aaron
aback,abasourdi
abacus,abaque
abaft,en arrière
abalone,ormeau
abandon,abandonner
abandoned,abandonné
abandonment,abandon
abandons,abandonne
abase,humilier
abased,abaissé
abasement,humiliation
abash,rendre confus
abashed,confus
abate,diminuer
abated,diminué
abatement,réduction
abates,diminue
abattoir,abattoir
abattoirs,abattoirs
abbe,abbé
abbess,abbesse
abbey,une abbaye
abbeys,abbayes
abbot,abbé
abbots,abbés
abbreviate,abréger
abbreviated,abrégé
abbreviates,abréviations
abbreviating,abréviation
abbreviation,abréviation
abbreviations,abréviations
abdicate,abdiquer
abdicated,abdiqué
abdicates,abdique
abdicating,abdiquer
abdication,abdication
abdomen,abdomen
abdomens,abdomens
abdominal,abdominal
abduct,enlever
abducted,enlevé
abducting,enlèvement
abduction,enlèvement
abductions,enlèvements
abductor,ravisseur
abductors,ravisseurs
abducts,abducts
abe,abe
abeam,un faisceau
abel,Abel
abele,abele
aberdeen,aberdeen
aberrant,aberrant
aberration,aberration
aberrations,aberrations
abet,une mise
abets,encourage
abetted,encouragé
abetting,encourager
abeyance,situation en suspens
abhor,abhorrer
abhorred,abhorré
abhorrence,horreur
abhorrent,odieux
abhors,aberrations
abide,respecter
abided,respecté
abides,respecte
abiding,respectueux
abidjan,abidjan
abies,abies
abilities,aptitudes
ability,capacité
abject,abject
abjectly,abjectement
abjure,abjurer
abjured,abjuré
ablate,ablation
ablates,ablates
ablating,ablation
ablation,ablation
ablative,ablatif
ablaze,en feu
able,capable
ablebodied,habile
abler,abler
ablest,le plus aisé
abloom,abloom
ablution,ablution
ablutions,ablutions
ably,habilement
abnegation,renoncement
abnormal,anormal
abnormalities,anomalies
abnormality,anomalie
abnormally,anormalement
aboard,une planche
abode,demeure
abodes,demeure
abolish,abolir
abolished,aboli
abolishes,abolit
abolishing,abolir
abolition,abolition
abolitionist,abolitionniste
abolitionists,abolitionnistes
abomb,une bombe
abominable,abominable
abominably,abominablement
abominate,abominer
abominated,abominé
abomination,abomination
abominations,abominations
aboriginal,Aborigène
aborigines,aborigènes
abort,avorter
aborted,avorté
aborting,avorter
abortion,Avortement
abortionist,avorteur
abortionists,avorteurs
abortions,avortements
abortive,abortif
aborts,abandonne
abound,abonder
abounded,abondé
abounding,abondant
abounds,abonde
about,sur
above,au dessus
abraded,abrasé
abraham,Abraham
abrasion,abrasion
abrasions,abrasions
abrasive,abrasif
abrasively,abrasivement
abrasiveness,abrasivité
abrasives,abrasifs
abreast,au courant
abridge,abréger
abridged,abrégé
abridgement,réduction
abridging,abréger
abroad,à l'étranger
abrogate,abroger
abrogated,abrogé
abrogating,abroger
abrogation,abrogation
abrogations,abrogations
abrupt,brusque
abruptly,brusquement
abruptness,brusquerie
"abscess                ,",abcès
abscesses,abcès
abscissa,abscisse
abscissae,abscisses
abscissas,abscisses
abscond,prendre la fuite
absconded,en fuite
absconder,fugitif
absconding,s'enfuir
absconds,absconds
