a,een
aardvark,aardvarken
aardwolf,aardwolf
aaron,Aaron
aback,verrast
abacus,telraam
abaft,achter
abalone,abalone
abandon,in de steek laten
abandoned,verlaten
abandonment,verlatenheid
abandons,Abandons
abase,vernederen
abased,vernederd
abasement,vernedering
abash,beschamen
abashed,verlegen
abate,verminderen
abated,afgenomen
abatement,vermindering
abates,afneemt
abattoir,slachthuis
abattoirs,slachthuizen
abbe,abbe
abbess,abdis
abbey,abdij
abbeys,abdijen
abbot,abt
abbots,abten
abbreviate,afkorten
abbreviated,afgekort
abbreviates,verkort
abbreviating,korten
abbreviation,afkorting
abbreviations,afkortingen
abdicate,aftreden
abdicated,afstand van de troon
abdicates,treedt af
abdicating,af te schuiven
abdication,abdicatie
abdomen,buik
abdomens,abdomens
abdominal,abdominaal
abduct,ontvoeren
abducted,ontvoerd
abducting,ontvoeren
abduction,ontvoering
abductions,ontvoeringen
abductor,ontvoerder
abductors,ontvoerders
abducts,ontvoert
abe,abe
abeam,dwarsscheeps
abel,abel
abele,abeel
aberdeen,aberdeen
aberrant,afwijkend
aberration,aberratie
aberrations,aberraties
abet,opruien
abets,behulpzaam is
abetted,abetted
abetting,medeplichtigheid
abeyance,onbeheerdheid
abhor,verafschuwen
abhorred,verafschuwde
abhorrence,afschuw
abhorrent,weerzinwekkend
abhors,verafschuwt
abide,vertoeven
abided,nageleefd
abides,"blijft, blijft"
abiding,aanhoudend
abidjan,abidjan
abies,abies
abilities,capaciteiten
ability,vermogen
abject,verachtelijk
abjectly,abjectly
abjure,afzweren
abjured,afgezworen
ablate,ablate
ablates,ablateert
ablating,ablateren
ablation,verwijdering
ablative,ablatief
ablaze,in lichterlaaie
able,in staat
ablebodied,ablebodied
abler,Abler
ablest,bekwaamste
abloom,bloeiend
ablution,wassing
ablutions,wassingen
ably,kundig
abnegation,zelfverloochening
abnormal,abnormaal
abnormalities,afwijkingen
abnormality,afwijking
abnormally,abnormaal
aboard,aan boord
abode,woonplaats
abodes,verblijfplaatsen
abolish,afschaffen
abolished,afgeschaft
abolishes,afschaft
abolishing,afschaffen
abolition,afschaffing
abolitionist,abolitionist
abolitionists,abolitionisten
abomb,een bom
abominable,afschuwelijk
abominably,abominabel
abominate,verfoeien
abominated,verfoeide
abomination,gruwel
abominations,gruwelen
aboriginal,inheems
aborigines,Aborigines
abort,afbreken
aborted,afgebroken
aborting,afbreken
abortion,abortus
abortionist,aborteur
abortionists,abortionists
abortions,abortussen
abortive,vruchteloos
aborts,aborteert
abound,rijk zijn
abounded,abounded
abounding,overvloedig
abounds,overvloed
about,over
above,bovenstaand
abraded,afgesleten
abraham,Abraham
abrasion,schuring
abrasions,schaafwonden
abrasive,schurende
abrasively,schurend
abrasiveness,abrasiveness
abrasives,schuurmiddelen
abreast,naast elkaar
abridge,verkorten
abridged,verkorte
abridgement,verkorting
abridging,verkorten
abroad,Buitenland
abrogate,afschaffen
abrogated,afgeschaft
abrogating,intrekking
abrogation,intrekking
abrogations,abrogaties
abrupt,abrupt
abruptly,abrupt
abruptness,heftigheid
abscess,abces
abscesses,abcessen
abscissa,abscis
abscissae,abscis
abscissas,abcissen
abscond,drossen
absconded,gevlucht
absconder,Absconder
absconding,onderduiken
absconds,onderduikt
abseil,abseil
abseiled,abseiled
abseiler,abseiler
abseiling,abseilen
abseils,afdalen
absence,afwezigheid
absences,afwezigheden
absent,afwezig
absented,absented
absentee,afwezige
absenteeism,absenteïsme
absentees,afwezigen
absenting,absenting
absently,afwezig
absentminded,verstrooid
absentmindedly,afwezig
absentmindedness,verstrooidheid
absolute,absoluut
absolutely,Absoluut
absoluteness,absoluutheid
absolutes,absolutes
absolution,absolutie
absolutism,absolutisme
absolutist,absolutist
absolutists,absolutisten
absolve,vrijspreken
absolved,vrijgesproken
